ope_id_00100200,school_alabama_agricultural_mechanical_university,state_al,zip_code_357621357,school_type_public,recipients_236,number_of_loans_originated_240,dollar_amount_of_loans_originated_843545,number_of_disbursements_529,dollar_amount_of_disbursements_970795,recipients_283,number_of_loans_originated_306,dollar_amount_of_loans_originated_966467,number_of_disbursements_671,dollar_amount_of_disbursements_1113771,recipients_55,number_of_loans_originated_56,dollar_amount_of_loans_originated_481420,number_of_disbursements_118,dollar_amount_of_disbursements_576247,recipients_172,number_of_loans_originated_178,dollar_amount_of_loans_originated_2122746,number_of_disbursements_375,dollar_amount_of_disbursements_2332380,recipients_42,number_of_loans_originated_43,dollar_amount_of_loans_originated_331579,number_of_disbursements_85,dollar_amount_of_disbursements_333079
613600,NATIONAL AVIATION ACADEMY - NEW ENGLAND,MA,017422620,Proprietary,95,96,333033,168,271101,105,105,405471,191,334910,,,,,,21,21,128276,39,121035,,,,,
616500,LOS ANGELES COUNTY COLLEGE OF NURSING AND ALLIED HEALTH,CA,900331018,Public,2,2,9000,4,9000,,,,,,,,,,,,,,,,,,,,
621400,BLESSING HOSPITAL,IL,623010000,Private-Nonprofit,1,1,922,1,922,,,,,,0,0,0,1,4463,,,,,,,,,,
622500,TRINITY COLLEGE OF NURSING & HEALTH SCIENCES,IL,612015317,Private-Nonprofit,18,18,78366,29,61985,15,15,68930,26,59194,5,5,102500,9,92250,,,,,,,,,,
622800,METHODIST COLLEGE,IL,616159235,Private-Nonprofit,42,42,104478,48,115410,49,49,166217,55,184938,4,4,41000,6,61500,1,1,3318,1,3318,1,1,8492,4,32234
624000,SAINT FRANCIS MEDICAL CENTER COLLEGE OF NURSING,IL,616033783,Private-Nonprofit,1,1,4000,1,4000,1,1,28,1,28,3,3,25955,3,25955,,,,,,1,1,9000,1,9000
625700,SAINT ELIZABETH SCHOOL OF NURSING,IN,479049988,Private-Nonprofit,46,46,210008,53,101311,40,40,172919,50,107255,,,,,,6,6,113200,7,26478,,,,,
626700,UNITYPOINT HEALTH-DES MOINES,IA,503091499,Private-Nonprofit,4,4,14000,4,14000,3,3,10000,3,10000,,,,,,,,,,,,,,,
627300,MERCY COLLEGE OF HEALTH SCIENCES,IA,503091239,Private-Nonprofit,67,67,151774,376,618237,81,81,251719,383,823358,,,,,,8,10,90327,16,164632,,,,,
630500,MAINE COLLEGE OF HEALTH PROFESSIONS,ME,042439986,Private-Nonprofit,37,37,144683,37,59396,40,40,229972,40,97409,,,,,,1,1,27372,1,9124,,,,,
632400,LABOURÉ COLLEGE OF HEALTHCARE,MA,021864253,Private-Nonprofit,118,120,367111,219,437403,136,136,651903,242,799917,,,,,,1,1,15764,2,35493,,,,,
633100,LAWRENCE MEMORIAL HOSPITAL SCHOOL OF NURSING,MA,021551643,Private-Nonprofit,4,4,12500,4,12500,3,3,18000,3,18000,,,,,,,,,,,,,,,
638500,CHAMBERLAIN UNIVERSITY,IL,601010000,Proprietary,7831,7928,26408892,13775,15343639,8864,8987,42004837,15875,24213776,6396,6493,59607453,14371,43554158,149,159,2125157,325,1487209,212,216,3643574,357,2166189
638900,GOLDFARB SCHOOL OF NURSING AT BARNES-JEWISH COLLEGE,MO,631101091,Private-Nonprofit,147,150,683586,150,320757,176,182,1069734,182,538211,82,83,1645398,83,634509,4,5,124636,5,75068,23,25,993373,25,398415
639200,RESEARCH MEDICAL CENTER,MO,641321199,Proprietary,13,13,32109,36,57859,7,7,32008,24,49623,,,,,,,,,,,,,,,
639900,BRYAN COLLEGE OF HEALTH SCIENCES,NE,685061398,Private-Nonprofit,4,4,14029,49,76671,5,5,22808,60,76173,26,26,492109,80,834013,4,4,18358,8,56526,3,3,118000,33,552725
640400,NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH,NE,681142852,Private-Nonprofit,82,82,210684,134,327548,140,143,507616,209,685076,17,17,156202,121,868015,10,10,69989,16,101617,0,0,0,10,58751
641700,HOLY NAME MEDICAL CENTER SCHOOL OF NURSING,NJ,076320000,Private-Nonprofit,8,8,36000,8,18000,8,8,44000,8,22000,,,,,,,,,,,,,,,
642100,JFK  MEDICAL CENTER MUHLENBERG HAROLD B. AND DOROTHY A. SNYDER SCHOOLS,NJ,070613399,Private-Nonprofit,9,9,27500,38,88250,15,15,64625,39,128625,,,,,,1,1,7800,2,10300,,,,,
643500,ARNOT OGDEN MEDICAL CENTER,NY,149051676,Private-Nonprofit,1,1,1750,3,1796,3,3,13044,5,13044,,,,,,,,,,,,,,,
643800,MOUNT SINAI PHILLIPS SCHOOL OF NURSING,NY,100356354,Private-Nonprofit,33,33,65604,167,339249,35,35,70050,158,356346,,,,,,7,7,208953,19,423820,,,,,
644500,BILL AND SANDRA POMEROY COLLEGE OF NURSING AT CROUSE HOSPITAL,NY,130579205,Private-Nonprofit,1,1,3500,18,33250,1,1,6000,18,55250,,,,,,,,,,,,,,,
647700,CABARRUS COLLEGE OF HEALTH SCIENCES,NC,280253959,Private-Nonprofit,3,3,11909,59,116657,2,2,9091,57,145057,8,8,60550,71,507849,1,1,6700,5,39929,6,6,36887,22,159317
648300,WATTS COLLEGE OF NURSING,NC,277052505,Private-Nonprofit,1,1,5500,2,6948,1,1,7000,1,7000,,,,,,,,,,,,,,,
648700,AULTMAN COLLEGE OF NURSING AND HEALTH SCIENCES,OH,447101799,Private-Nonprofit,52,52,170360,52,78196,53,53,212927,53,92506,,,,,,,,,,,,,,,
648900,CHRIST COLLEGE OF NURSING AND HEALTH SCIENCES,OH,452192906,Private-Nonprofit,23,23,48539,194,303532,27,27,71541,207,401991,,,,,,5,5,38046,21,117592,,,,,
649400,GOOD SAMARITAN COLLEGE OF NURSING AND HEALTH SCIENCE,OH,452202489,Private-Nonprofit,52,52,175819,343,585547,74,74,340850,379,931375,,,,,,2,2,9959,11,78612,,,,,
650700,TRINITY HEALTH SYSTEM SCHOOL OF NURSING,OH,439520000,Private-Nonprofit,8,9,33045,10,12045,11,12,68850,13,27518,,,,,,1,1,5060,1,1687,,,,,
653400,CITIZENS SCHOOL OF NURSING,PA,150846591,Private-Nonprofit,1,1,3500,38,64937,0,0,0,37,109428,,,,,,,,,,,,,,,
655100,UPMC ST. MARGARET SCHOOL OF NURSING,PA,152383205,Private-Nonprofit,15,15,52160,22,37196,16,17,73490,26,56820,,,,,,1,1,6600,2,6600,,,,,
656000,HERITAGE VALLEY KENNEDY SCHOOL OF NURSING,PA,151361694,Private-Nonprofit,,,,,,0,0,0,2,4000,,,,,,,,,,,,,,,
